route_id,stop_id
1,"[137 139 '139' '123' '127' '142' 122 125 128 133 136 132 115 118 120 112
 134 109 130 106 101 135 138 104 119 116 114 111 108 '107' '103' '110'
 '121' '124' '131' '126' '129' '117' '113']"
2,"[137 '123' '127' 235 234 239 250 242 244 247 122 125 128 230 133 136 228
 132 217 222 227 225 221 219 216 210 207 204 120 214 134 212 130 209 206
 201 135 213 211 208 205 241 '229' '231' '233' '236' '238' '246' '248'
 '251' '253' '256' '224' '220' '243' '218' '245' '215' '257' '249' '252'
 '255' '121' '124' '131' '126' '129' '232' '237' '226' '254']"
3,"[137 '123' '127' 235 234 239 250 128 230 228 132 227 225 120 '229' '231'
 '233' '236' '238' '248' '251' '253' '256' '224' '257' '249' '252' '255'
 '302' '232' '237' '301' '226' '254']"
4,"[621 623 626 629 631 634 637 '415' '409' '635' 635 640 419 423 235 234 239
 250 636 420 638 416 414 412 411 418 '632' '630' '627' '625' '622' '236'
 '238' '248' '251' '253' '256' '633' '408' '405' '413' '257' '406' '628'
 '402' '407' '410' '639' '249' '624' '401' '252' '255' '237' '254']"
5,"[621 626 629 631 '635' 635 640 419 423 235 234 239 250 242 244 247 217 222
 505 503 221 501 219 216 210 207 204 214 212 209 206 420 201 416 213 211
 208 205 241 418 '246' '220' '243' '218' '245' '502' '215' '504']"
5X,"[621 626 629 631 '635' 635 640 419 423 235 234 239 242 244 217 222 505 503
 221 501 219 216 210 207 204 214 212 209 206 420 416 213 211 205 241 418
 '246' '220' '243' '218' '245' '502' '215' '504']"
6,"[608 610 613 616 621 623 626 629 631 634 637 '635' 635 640 636 638 604 619
 617 614 '632' '630' '627' '625' '622' '618' '612' '633' '601' '628' '609'
 '639' '624' '615' '607' '603' '602' '606' '611']"
6X,"[608 613 621 623 626 629 631 634 637 '635' 635 640 636 638 604 619 617 614
 '632' '630' '627' '625' '622' '633' '601' '628' '609' '639' '624' '607'
 '603' '602' '606' '611']"
7,"[706 709 712 714 716 719 723 724 726 710 702 701 708 705 707 '707' '713'
 '718' 718 720 725 711 721 '721' '715']"
7X,"[706 709 712 714 716 719 723 724 726 710 702 701 708 705 707 '707' '713'
 '718' 718 720 725 711 721 '721' '715']"
A,"['A02' 'A57' 'H11' 'A55' 'H10' 'A63' 'H07' 'A59' 'H06' 'H04' 'H03' 'H08'
 'H01' 'A60' 'A53' 'A50' 'A61' 'A48' 'A45' 'A54' 'A43' 'A51' 'A40' 'A38'
 'A34' 'A42' 'A32' 'A28' 'A24' 'A44' 'A20' 'A41' 'A18' 'A15' 'A21' 'A17'
 'A11' 'A31' 'A05' 'A14' 'A09' 'A27' 'A10' 'A22' 'A06' 'A03' 'A36' 'A33'
 'A19' 'A65' 'H02' 'A25' 'A30' 'A07' 'A12' 'A46' 'A47' 'A16' 'A49' 'A52'
 'H09' 'A64' 'H15' 'H12' 'H14' 'H13']"
B,"['A24' 'A20' 'A18' 'A15' 'A21' 'A17' 'A14' 'A22' 'A19' 'A12' 'D14' 'D03'
 'D16' 'D15' 'D20' 'D17' 'D21' 'D06' 'D09' 'D12' 'D13' 'D05' 'D08' 'D22'
 'D11' 'R30' 'D26' 'D28' 'D35' 'D39' 'D25' 'D24' 'D40' 'D31' 'A16' 'D04'
 'D07' 'D10']"
C,"['A55' 'A53' 'A50' 'A48' 'A45' 'A54' 'A43' 'A51' 'A40' 'A38' 'A34' 'A42'
 'A32' 'A28' 'A24' 'A44' 'A20' 'A41' 'A18' 'A15' 'A21' 'A17' 'A11' 'A31'
 'A14' 'A09' 'A27' 'A10' 'A22' 'A36' 'A33' 'A19' 'A25' 'A30' 'A12' 'A46'
 'A47' 'A16' 'A49' 'A52']"
D,"['A24' 'A15' 'D14' 'D01' 'D03' 'D43' 'D16' 'D15' 'D20' 'D17' 'D21' 'D06'
 'D09' 'D12' 'D13' 'D05' 'D08' 'D22' 'D11' 'R31' 'R36' 'B13' 'B16' 'B20'
 'B22' 'B23' 'B12' 'B15' 'B19' 'B21' 'B18' 'R30' 'R34' 'R35' 'R33' 'R32'
 'D04' 'D07' 'D10' 'B17' 'B14']"
E,"['E01' 'A34' 'A32' 'A28' 'A31' 'A27' 'A33' 'F07' 'G08' 'G14' 'G21' 'F11'
 'A25' 'A30' 'F12' 'F09' 'G05' 'G06' 'G07' 'D14' 'F06' 'F05' 'F01' 'F03'
 'G10' 'G13' 'G16' 'G20' 'G18' 'G11' 'G15' 'G12' 'G09' 'G19']"
F,"['A41' 'F07' 'G08' 'G14' 'F06' 'F05' 'F01' 'D43' 'F04' 'F38' 'F35' 'F29'
 'F26' 'F22' 'F20' 'F18' 'F14' 'D19' 'D16' 'B08' 'B04' 'F02' 'F03' 'B06'
 'D15' 'D18' 'D42' 'D20' 'F16' 'F21' 'F25' 'F24' 'F27' 'F31' 'F30' 'F34'
 'F33' 'F36' 'F15' 'F39' 'B10' 'F23' 'D17' 'F32' 'D21']"
FS,['D26' 'S01' 'S03' 'S04']
G,"['A42' 'F26' 'F22' 'F20' 'F21' 'F25' 'F24' 'F27' 'F23' 'G22' 'G28' 'G31'
 'G34' 'G30' 'G33' 'G36' 'G24' 'G26' 'G29' 'G32' 'G35']"
H,['H04' 'H15' 'H12' 'H14' 'H13']
J,"['G05' 'G06' 'M18' 'M14' 'M11' 'M16' 'M12' 'M22' 'M19' 'J28' 'J24' 'J20'
 'J17' 'J14' 'M23' 'M20' 'M21' 'M13' 'J31' 'J23' 'J16' 'J13' 'J27' 'J15'
 'J19' 'J29' 'J22' 'J12' 'J21' 'J30']"
L,"['L27' 'L24' 'L20' 'L16' 'L13' 'L08' 'L06' 'L28' 'L25' 'L22' 'L19' 'L15'
 'L12' 'L02' 'L26' 'L05' 'L03' 'L11' 'L14' 'L10' 'L17' 'L21']"
M,"['G08' 'G14' 'G21' 'F11' 'F12' 'F09' 'M08' 'M01' 'D19' 'M04' 'D16' 'M06'
 'D15' 'D18' 'D20' 'D17' 'M18' 'D21' 'M14' 'M11' 'M16' 'M12' 'M05' 'M13'
 'G10' 'G13' 'G16' 'G20' 'G18' 'G11' 'G15' 'G12' 'G09' 'G19' 'M10' 'M09']"
N,"['D43' 'B08' 'R31' 'R36' 'R01' 'R27' 'Q05' 'R28' 'R30' 'Q03' 'R05' 'R14'
 'R09' 'R17' 'R11' 'R21' 'Q01' 'R20' 'R23' 'R25' 'R41' 'R29' 'R34' 'R35'
 'R04' 'R39' 'R40' 'N02' 'Q04' 'N07' 'R15' 'R33' 'N09' 'R22' 'R16' 'R19'
 'R03' 'N08' 'N05' 'R18' 'R32' 'R26' 'R24' 'N04' 'R13' 'N10' 'R08' 'N03'
 'N06' 'R06']"
Q,"['D43' 'B08' 'D42' 'Q05' 'R30' 'Q03' 'R14' 'R17' 'R21' 'Q01' 'R20' 'D26'
 'D28' 'D32' 'D35' 'D39' 'D41' 'D37' 'D34' 'D30' 'D27' 'D25' 'Q04' 'R15'
 'R22' 'R16' 'D24' 'R19' 'D38' 'R18' 'D40' 'D33' 'D31' 'D29']"
R,"['G08' 'G14' 'G21' 'B08' 'R31' 'R36' 'R27' 'Q05' 'R28' 'R30' 'Q03' 'R45'
 'R14' 'R17' 'R11' 'R21' 'R20' 'R23' 'R25' 'R41' 'R29' 'R34' 'R44' 'R35'
 'R39' 'R42' 'R40' 'Q04' 'R15' 'R33' 'R22' 'R43' 'R16' 'R19' 'R18' 'R32'
 'R26' 'R24' 'R13' 'G10' 'G13' 'G16' 'G20' 'G18' 'G11' 'G15' 'G12' 'G09'
 'G19']"
SI,"['S25' 'S19' 'S09' 'S31' 'S27' 'S17' 'S13' 'S29' 'S15' 'S30' 'S28' 'S20'
 'S22' 'S11' 'S23' 'S26' 'S18' 'S24' 'S21' 'S14' 'S16']"
